City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,avarua,-21.2078,-159.775,24.03,83,75,2.06,CK,1682584820
143,north ward,-19.2454,146.8075,25.95,69,3,5.66,AU,1682584821
144,puerto baquerizo moreno,-0.9,-89.6,25.36,81,95,4.51,EC,1682584821
145,kismayo,-0.3582,42.5454,29.96,66,98,5.55,SO,1682584822
146,newnham,-41.3833,147.1333,15.06,92,100,5.66,AU,1682584823
147,mulayjah,27.271,48.4242,33.62,13,0,4.66,SA,1682584824
148,greymouth,-42.4667,171.2,10.75,88,1,1.65,NZ,1682584825
149,howrah,22.5892,88.3103,35.0,59,40,2.57,IN,1682584825
150,la ronge,55.1001,-105.2842,1.14,93,100,5.14,CA,1682584826
151,pombal,-6.7703,-37.8017,24.41,82,100,1.26,BR,1682584827
152,rio preto da eva,-2.6994,-59.6997,22.11,99,100,1.1,BR,1682584828
153,coahuayana de hidalgo,18.7,-103.6583,21.57,65,100,1.31,MX,1682584828
154,carupano,10.6678,-63.2585,23.75,90,72,2.79,VE,1682584829
155,west island,-12.1568,96.8225,28.99,79,100,8.23,CC,1682584830
156,puerto ayora,-0.7393,-90.3518,24.19,97,92,0.45,EC,1682584831
157,pervomayskoye,43.919,46.7102,22.08,54,0,7.93,RU,1682584831
158,vila do maio,15.1333,-23.2167,22.44,75,65,5.52,CV,1682584832
159,malango,-2.9627,119.9001,22.87,97,100,0.53,ID,1682584833
160,kenai,60.5544,-151.2583,3.05,76,100,2.57,US,1682584833
161,talnakh,69.4865,88.3972,-3.43,90,100,1.67,RU,1682584834
162,cide,41.8921,33.0044,14.29,87,100,2.07,TR,1682584835
163,afaahiti,-17.75,-149.2833,25.59,83,100,4.83,PF,1682584836
164,jayapura,-2.5333,140.7,29.66,83,98,1.66,ID,1682584837
165,aswan,24.0934,32.907,33.61,13,0,5.14,EG,1682584837
166,san luis de la loma,17.2706,-100.8939,24.12,73,94,1.4,MX,1682584838
167,badger,64.8,-147.5333,0.95,61,75,0.0,US,1682584839
168,chonchi,-42.6128,-73.8092,8.56,95,100,0.39,CL,1682584840
169,mata-utu,-13.2816,-176.1745,28.58,72,100,2.48,WF,1682584840
170,anadyr,64.75,177.4833,-9.72,85,0,4.0,RU,1682584843
171,undurkhaan,47.3194,110.6556,5.35,17,56,9.93,MN,1682584843
172,bandar lampung,-5.4254,105.258,27.81,85,100,0.79,ID,1682584845
173,lisakovsk,52.5369,62.4936,24.52,19,95,8.85,KZ,1682584845
174,miguel ahumada,30.6167,-106.5167,12.98,27,1,3.68,MX,1682584846
175,pandan,14.0453,124.1694,27.35,82,89,5.03,PH,1682584847
176,sibiti,-3.6819,13.3499,23.84,82,100,1.12,CG,1682584848
177,komatipoort,-25.4332,31.9548,28.36,46,0,4.35,ZA,1682584848
178,atafu village,-8.5421,-172.5159,28.75,69,100,4.6,TK,1682584849
179,yung shue wan,22.2333,114.1167,25.87,77,99,0.45,HK,1682584849
180,owen sound,44.5672,-80.9435,-1.79,94,7,0.89,CA,1682584770
181,lihue,21.9789,-159.3672,22.77,71,40,4.12,US,1682584851
182,bilajer,40.5681,50.0378,19.9,68,0,10.29,AZ,1682584851
183,talcahuano,-36.7167,-73.1167,12.82,100,100,2.06,CL,1682584852
184,qina,26.1642,32.7267,32.17,11,0,1.7,EG,1682584852
185,klyuchi,52.2667,79.1667,24.34,24,100,6.13,RU,1682584853
186,voorschoten,52.1167,4.4333,10.01,63,100,3.6,NL,1682584853
187,georgetown,5.4112,100.3354,32.97,62,40,6.17,MY,1682584854
188,grand falls-windsor,48.9332,-55.6649,0.28,92,22,1.29,CA,1682584855
189,yinchuan,38.4681,106.2731,16.22,22,97,5.55,CN,1682584855
190,reyes,-14.3167,-67.3833,21.83,99,31,0.39,BO,1682584856
191,weno,7.4515,151.8468,25.97,100,100,0.0,FM,1682584856
192,afumati,44.5167,26.2667,12.21,71,75,5.66,RO,1682584857
193,olinda,-8.0089,-34.8553,23.85,94,100,2.06,BR,1682584858
194,kasama,-10.2129,31.1808,21.86,57,32,3.23,ZM,1682584858
195,saldanha,-33.0117,17.9442,16.03,85,90,5.81,ZA,1682584859
196,sao lourenco do sul,-31.3653,-51.9783,15.41,94,1,3.71,BR,1682584859
197,flying fish cove,-10.4217,105.6791,27.6,80,79,6.46,CX,1682584860
198,menongue,-14.6585,17.691,27.5,28,4,3.96,AO,1682584861
199,isafjordur,66.0755,-23.124,0.02,59,75,4.63,IS,1682584861
200,bazarnyy karabulak,52.2683,46.4144,19.74,39,80,2.81,RU,1682584862
201,tiksi,71.6872,128.8694,-7.24,89,12,0.42,RU,1682584863
202,roquetas de mar,36.7642,-2.6148,24.0,59,42,2.45,ES,1682584864
203,conceicao da barra,-18.5933,-39.7322,21.5,97,27,1.59,BR,1682584864
204,geraldton,-28.7667,114.6,22.23,60,3,10.29,AU,1682584866
205,newman,37.3138,-121.0208,18.49,73,8,1.79,US,1682584867
206,bayramaly,37.6185,62.1671,29.86,7,11,4.27,TM,1682584867
207,crane,31.3974,-102.3501,11.69,63,0,3.65,US,1682584868
